Pavarde	Vardas	ND1	ND2	ND3	ND4	ND5	Egzaminas
Pavarde92	Vardas92	6	9	5	6	8	6
Pavarde93	Vardas93	3	0	9	8	9	5
Pavarde94	Vardas94	5	7	4	2	3	8
Pavarde95	Vardas95	5	7	2	3	8	8
Pavarde96	Vardas96	5	1	7	4	6	0
Pavarde97	Vardas97	6	4	3	1	0	9
Pavarde98	Vardas98	10	2	8	8	0	2
Pavarde99	Vardas99	4	7	2	1	9	6
Pavarde100	Vardas100	9	10	8	1	0	6
Pavarde101	Vardas101	2	3	4	1	5	8
Pavarde102	Vardas102	0	9	3	5	10	9
Pavarde103	Vardas103	6	5	3	4	9	9
Pavarde104	Vardas104	10	5	6	5	2	7
Pavarde105	Vardas105	5	6	8	4	1	10
Pavarde106	Vardas106	8	3	10	6	2	0
Pavarde107	Vardas107	0	10	9	1	10	7
Pavarde108	Vardas108	2	5	9	3	7	8
Pavarde109	Vardas109	1	4	7	0	9	9
Pavarde110	Vardas110	6	1	2	0	6	4
Pavarde111	Vardas111	0	1	3	5	10	8
Pavarde112	Vardas112	6	3	9	5	7	0
Pavarde113	Vardas113	6	3	9	5	3	5
Pavarde114	Vardas114	1	3	6	8	5	0
Pavarde115	Vardas115	3	3	8	9	2	8
Pavarde116	Vardas116	4	5	10	10	3	9
Pavarde117	Vardas117	9	3	0	9	6	6
Pavarde118	Vardas118	8	7	8	4	8	0
Pavarde119	Vardas119	4	4	7	3	1	10
Pavarde120	Vardas120	5	4	8	5	9	1
Pavarde121	Vardas121	3	5	8	4	3	3
Pavarde122	Vardas122	9	0	5	0	8	6
Pavarde123	Vardas123	6	1	2	8	3	5
Pavarde124	Vardas124	10	10	3	6	8	0
Pavarde125	Vardas125	7	1	2	8	1	9
Pavarde126	Vardas126	7	5	4	1	1	2
Pavarde127	Vardas127	1	5	8	4	1	2
Pavarde128	Vardas128	3	9	1	8	3	7
Pavarde129	Vardas129	4	8	5	7	0	2
Pavarde130	Vardas130	3	2	10	4	0	6
Pavarde131	Vardas131	1	3	6	8	10	1
Pavarde132	Vardas132	0	9	4	4	2	6
Pavarde133	Vardas133	2	10	1	0	2	2
Pavarde134	Vardas134	4	6	5	4	4	7
Pavarde135	Vardas135	6	5	0	7	10	9
Pavarde136	Vardas136	5	0	1	10	4	10
Pavarde137	Vardas137	5	4	3	9	10	2
Pavarde138	Vardas138	3	8	7	3	7	0
Pavarde139	Vardas139	9	6	1	3	7	4
Pavarde140	Vardas140	0	8	8	9	2	4
Pavarde141	Vardas141	6	5	2	6	6	7
Pavarde142	Vardas142	6	3	2	5	8	9
Pavarde143	Vardas143	5	9	5	10	10	1
Pavarde144	Vardas144	10	5	7	2	8	9
Pavarde145	Vardas145	8	2	7	9	10	5
Pavarde146	Vardas146	5	8	6	4	0	0
Pavarde147	Vardas147	5	6	4	3	3	9
Pavarde148	Vardas148	1	7	5	3	10	7
Pavarde149	Vardas149	4	5	4	8	3	2
Pavarde150	Vardas150	1	9	7	7	9	2
Pavarde151	Vardas151	7	6	6	1	3	5
Pavarde152	Vardas152	8	6	10	5	3	6
Pavarde153	Vardas153	7	5	5	3	4	4
Pavarde154	Vardas154	4	3	0	5	1	0
Pavarde155	Vardas155	2	9	8	10	0	10
Pavarde156	Vardas156	0	0	3	2	3	3
Pavarde157	Vardas157	2	7	3	0	10	4
Pavarde158	Vardas158	8	1	3	7	0	0
Pavarde159	Vardas159	3	1	0	9	1	10
Pavarde160	Vardas160	0	1	8	1	8	5
Pavarde161	Vardas161	3	1	9	4	8	7
Pavarde162	Vardas162	2	3	4	9	7	4
Pavarde163	Vardas163	1	1	6	10	6	10
Pavarde164	Vardas164	7	2	2	3	9	3
Pavarde165	Vardas165	3	7	3	4	10	4
Pavarde166	Vardas166	9	2	9	2	1	7
Pavarde167	Vardas167	3	7	6	1	1	10
Pavarde168	Vardas168	0	7	10	7	3	5
Pavarde169	Vardas169	2	8	9	10	2	8
Pavarde170	Vardas170	3	10	6	7	9	4
Pavarde171	Vardas171	8	3	3	1	8	1
Pavarde172	Vardas172	5	1	4	10	2	3
Pavarde173	Vardas173	10	8	6	4	8	5
Pavarde174	Vardas174	9	2	4	8	9	7
Pavarde175	Vardas175	10	4	6	2	0	7
Pavarde176	Vardas176	1	10	1	4	9	4
Pavarde177	Vardas177	2	8	9	0	0	9
Pavarde178	Vardas178	6	2	0	2	6	10
Pavarde179	Vardas179	1	8	0	8	6	2
Pavarde180	Vardas180	3	9	9	9	2	9
Pavarde181	Vardas181	6	5	5	8	6	3
Pavarde182	Vardas182	0	3	8	3	4	10
Pavarde183	Vardas183	6	10	5	9	4	10
Pavarde184	Vardas184	4	2	8	9	1	5
Pavarde185	Vardas185	5	7	5	6	5	0
Pavarde186	Vardas186	6	9	1	10	3	1
Pavarde187	Vardas187	8	2	10	5	6	2
Pavarde188	Vardas188	0	4	2	9	6	2
Pavarde189	Vardas189	10	9	6	5	8	10
Pavarde190	Vardas190	9	2	2	3	2	9
Pavarde191	Vardas191	1	5	5	1	0	7
Pavarde192	Vardas192	2	3	9	10	0	8
Pavarde193	Vardas193	8	8	1	5	4	7
Pavarde194	Vardas194	0	4	6	5	8	5
Pavarde195	Vardas195	10	1	7	6	4	6
Pavarde196	Vardas196	2	0	9	9	5	2
Pavarde197	Vardas197	9	5	7	1	3	7
Pavarde198	Vardas198	9	3	0	5	9	4
Pavarde199	Vardas199	10	0	6	0	7	8
Pavarde200	Vardas200	7	1	8	7	6	2
Pavarde201	Vardas201	6	9	3	5	5	0
Pavarde202	Vardas202	7	7	8	1	6	3
Pavarde203	Vardas203	9	9	0	1	4	3
Pavarde204	Vardas204	5	4	9	4	7	9
Pavarde205	Vardas205	0	0	9	8	10	8
Pavarde206	Vardas206	4	0	2	3	3	1
Pavarde207	Vardas207	0	3	5	2	0	10
Pavarde208	Vardas208	7	10	5	8	0	9
Pavarde209	Vardas209	1	0	7	1	7	0
Pavarde210	Vardas210	2	6	6	2	4	7
Pavarde211	Vardas211	5	3	1	9	5	2
Pavarde212	Vardas212	3	7	0	7	3	10
Pavarde213	Vardas213	5	9	9	0	1	10
Pavarde214	Vardas214	9	1	9	2	10	5
Pavarde215	Vardas215	2	1	7	4	7	9
Pavarde216	Vardas216	1	6	8	5	8	3
Pavarde217	Vardas217	6	8	5	5	10	3
Pavarde218	Vardas218	10	1	0	3	1	5
Pavarde219	Vardas219	0	5	1	9	9	8
Pavarde220	Vardas220	9	3	7	2	1	6
Pavarde221	Vardas221	1	3	1	1	6	3
Pavarde222	Vardas222	6	8	5	1	10	10
Pavarde223	Vardas223	0	10	10	0	2	9
Pavarde224	Vardas224	8	6	9	9	1	2
Pavarde225	Vardas225	1	2	1	0	4	3
Pavarde226	Vardas226	6	10	0	4	5	5
Pavarde227	Vardas227	10	8	7	10	8	6
Pavarde228	Vardas228	0	7	8	9	2	4
Pavarde229	Vardas229	7	0	7	5	7	0
Pavarde230	Vardas230	5	5	5	1	9	10
Pavarde231	Vardas231	4	10	1	1	7	4
Pavarde232	Vardas232	7	10	4	7	5	8
Pavarde233	Vardas233	1	0	1	4	8	9
Pavarde234	Vardas234	4	3	5	3	4	1
Pavarde235	Vardas235	7	4	8	3	2	3
Pavarde236	Vardas236	8	10	8	9	9	10
Pavarde237	Vardas237	10	9	8	0	5	3
Pavarde238	Vardas238	5	5	1	9	6	1
Pavarde239	Vardas239	1	0	7	6	3	1
Pavarde240	Vardas240	1	1	9	0	9	4
Pavarde241	Vardas241	4	1	10	8	1	7
Pavarde242	Vardas242	0	9	9	2	3	4
Pavarde243	Vardas243	7	3	1	6	1	8
Pavarde244	Vardas244	3	3	5	10	9	7
Pavarde245	Vardas245	6	0	5	9	10	2
Pavarde246	Vardas246	4	8	0	3	5	7
Pavarde247	Vardas247	2	1	10	1	10	10
Pavarde248	Vardas248	9	1	0	7	1	5
Pavarde249	Vardas249	2	0	6	4	4	10
Pavarde250	Vardas250	5	2	6	3	9	1
Pavarde251	Vardas251	6	7	5	8	10	3
Pavarde252	Vardas252	6	9	4	8	3	7
Pavarde253	Vardas253	9	3	0	10	9	1
Pavarde254	Vardas254	2	2	3	7	5	9
Pavarde255	Vardas255	3	4	4	9	9	2
Pavarde256	Vardas256	1	0	1	1	10	8
Pavarde257	Vardas257	9	5	7	0	0	2
Pavarde258	Vardas258	2	10	9	8	4	7
Pavarde259	Vardas259	7	7	0	6	3	5
Pavarde260	Vardas260	7	10	2	5	3	6
Pavarde261	Vardas261	0	3	10	9	1	0
Pavarde262	Vardas262	2	3	2	6	1	9
Pavarde263	Vardas263	3	9	10	4	4	7
Pavarde264	Vardas264	10	7	5	8	7	0
Pavarde265	Vardas265	10	5	2	6	5	7
Pavarde266	Vardas266	3	7	4	8	1	9
Pavarde267	Vardas267	5	7	1	4	4	6
Pavarde268	Vardas268	3	5	0	4	5	2
Pavarde269	Vardas269	3	1	4	10	9	6
Pavarde270	Vardas270	1	1	6	6	1	3
Pavarde271	Vardas271	10	10	2	3	5	9
Pavarde272	Vardas272	8	8	4	10	3	0
Pavarde273	Vardas273	7	2	0	9	4	1
Pavarde274	Vardas274	3	10	7	5	9	1
Pavarde275	Vardas275	1	5	4	3	0	7
Pavarde276	Vardas276	5	4	4	8	3	5
Pavarde277	Vardas277	10	9	8	5	6	0
Pavarde278	Vardas278	9	7	8	7	8	9
Pavarde279	Vardas279	8	6	8	2	1	9
Pavarde280	Vardas280	4	10	6	3	7	8
Pavarde281	Vardas281	10	5	7	0	3	1
Pavarde282	Vardas282	6	8	1	9	2	1
Pavarde283	Vardas283	10	4	5	8	1	4
Pavarde284	Vardas284	4	6	9	1	5	1
Pavarde285	Vardas285	5	7	3	4	4	7
Pavarde286	Vardas286	4	5	9	9	8	10
Pavarde287	Vardas287	1	3	8	5	4	2
Pavarde288	Vardas288	5	0	9	4	6	0
Pavarde289	Vardas289	0	6	9	5	10	4
Pavarde290	Vardas290	0	9	8	10	7	6
Pavarde291	Vardas291	5	3	8	10	3	7
Pavarde292	Vardas292	4	4	3	4	9	6
Pavarde293	Vardas293	9	10	9	8	7	7
Pavarde294	Vardas294	1	5	5	5	10	1
Pavarde295	Vardas295	3	3	9	7	9	7
Pavarde296	Vardas296	8	0	7	6	3	6
Pavarde297	Vardas297	4	6	1	0	10	4
Pavarde298	Vardas298	7	10	5	2	7	9
Pavarde299	Vardas299	7	0	5	5	4	4
Pavarde300	Vardas300	9	2	10	5	1	5
Pavarde301	Vardas301	4	2	5	1	6	3
Pavarde302	Vardas302	6	4	4	4	4	3
Pavarde303	Vardas303	9	4	4	0	10	1
Pavarde304	Vardas304	5	7	9	2	10	0
Pavarde305	Vardas305	4	5	7	0	8	1
Pavarde306	Vardas306	5	8	6	5	9	0
Pavarde307	Vardas307	7	9	4	2	0	7
Pavarde308	Vardas308	10	2	0	5	1	0
Pavarde309	Vardas309	2	6	9	10	3	2
Pavarde310	Vardas310	0	2	4	10	8	6
Pavarde311	Vardas311	7	6	0	9	0	6
Pavarde312	Vardas312	10	6	4	8	3	3
Pavarde313	Vardas313	2	1	7	10	1	5
Pavarde314	Vardas314	4	9	3	8	5	6
Pavarde315	Vardas315	7	5	3	6	6	9
Pavarde316	Vardas316	3	6	10	8	8	9
Pavarde317	Vardas317	9	4	3	2	9	5
Pavarde318	Vardas318	2	2	5	3	4	5
Pavarde319	Vardas319	8	7	2	0	0	6
Pavarde320	Vardas320	3	8	5	0	4	3
Pavarde321	Vardas321	5	3	10	4	3	3
Pavarde322	Vardas322	10	5	1	0	8	1
Pavarde323	Vardas323	1	5	1	7	6	9
Pavarde324	Vardas324	0	10	0	7	3	2
Pavarde325	Vardas325	2	0	0	8	4	2
Pavarde326	Vardas326	8	7	0	4	10	3
Pavarde327	Vardas327	10	0	7	2	4	3
Pavarde328	Vardas328	3	4	9	1	0	4
Pavarde329	Vardas329	5	5	8	6	3	5
Pavarde330	Vardas330	2	1	2	10	7	3
Pavarde331	Vardas331	4	0	8	1	4	3
Pavarde332	Vardas332	2	0	9	3	6	1
Pavarde333	Vardas333	8	3	10	6	0	10
Pavarde334	Vardas334	0	6	6	4	7	7
Pavarde335	Vardas335	6	10	4	8	6	4
Pavarde336	Vardas336	3	9	8	8	9	5
Pavarde337	Vardas337	2	10	3	3	3	0
Pavarde338	Vardas338	8	2	4	8	8	2
Pavarde339	Vardas339	10	0	4	7	6	4
Pavarde340	Vardas340	2	2	8	0	8	6
Pavarde341	Vardas341	3	0	2	9	7	1
Pavarde342	Vardas342	4	6	3	1	0	5
Pavarde343	Vardas343	8	5	0	1	0	5
Pavarde344	Vardas344	0	3	3	10	3	0
Pavarde345	Vardas345	8	8	5	10	5	4
Pavarde346	Vardas346	1	10	6	10	5	1
Pavarde347	Vardas347	6	6	3	7	1	0
Pavarde348	Vardas348	4	3	0	4	9	1
Pavarde349	Vardas349	6	3	10	8	1	7
Pavarde350	Vardas350	5	4	4	10	1	0
Pavarde351	Vardas351	6	9	5	5	2	7
Pavarde352	Vardas352	6	4	3	9	9	1
Pavarde353	Vardas353	1	5	3	9	8	1
Pavarde354	Vardas354	1	4	3	2	0	1
Pavarde355	Vardas355	6	8	1	0	3	4
Pavarde356	Vardas356	6	9	2	0	8	2
Pavarde357	Vardas357	1	1	8	1	4	0
Pavarde358	Vardas358	2	5	4	4	9	4
Pavarde359	Vardas359	0	3	5	6	1	7
Pavarde360	Vardas360	7	6	5	2	0	10
Pavarde361	Vardas361	8	6	6	1	9	10
Pavarde362	Vardas362	10	3	8	10	9	5
Pavarde363	Vardas363	3	0	0	6	1	5
Pavarde364	Vardas364	2	2	1	3	1	1
Pavarde365	Vardas365	7	6	6	3	8	3
Pavarde366	Vardas366	7	6	10	6	8	3
Pavarde367	Vardas367	4	10	8	0	6	10
Pavarde368	Vardas368	3	2	9	10	6	5
Pavarde369	Vardas369	10	9	8	2	1	6
Pavarde370	Vardas370	8	6	6	6	4	9
Pavarde371	Vardas371	10	2	0	7	10	9
Pavarde372	Vardas372	10	8	9	9	9	1
Pavarde373	Vardas373	8	8	9	0	5	4
Pavarde374	Vardas374	6	5	9	0	8	10
Pavarde375	Vardas375	9	4	6	3	5	4
Pavarde376	Vardas376	8	7	5	0	9	10
Pavarde377	Vardas377	8	7	3	4	1	2
Pavarde378	Vardas378	0	1	7	0	3	0
Pavarde379	Vardas379	10	5	6	10	2	10
Pavarde380	Vardas380	8	9	1	3	9	6
Pavarde381	Vardas381	5	7	6	10	7	9
Pavarde382	Vardas382	2	6	10	3	4	0
Pavarde383	Vardas383	8	8	7	2	0	3
Pavarde384	Vardas384	8	3	9	8	5	6
Pavarde385	Vardas385	8	2	3	10	4	3
Pavarde386	Vardas386	9	4	8	8	10	6
Pavarde387	Vardas387	8	8	1	9	4	10
Pavarde388	Vardas388	9	1	2	8	6	5
Pavarde389	Vardas389	9	3	10	8	9	4
Pavarde390	Vardas390	10	4	3	6	0	10
Pavarde391	Vardas391	0	1	10	10	2	5
Pavarde392	Vardas392	10	0	6	8	10	3
Pavarde393	Vardas393	1	8	5	7	10	0
Pavarde394	Vardas394	10	6	6	4	1	5
Pavarde395	Vardas395	3	8	2	5	6	8
Pavarde396	Vardas396	8	6	4	6	7	0
Pavarde397	Vardas397	10	3	6	8	1	9
Pavarde398	Vardas398	5	6	9	10	7	6
Pavarde399	Vardas399	10	10	1	0	9	3
Pavarde400	Vardas400	6	10	6	10	0	0
Pavarde401	Vardas401	9	2	2	7	4	2
Pavarde402	Vardas402	4	2	2	6	10	8
Pavarde403	Vardas403	10	9	4	8	4	6
Pavarde404	Vardas404	10	4	5	9	6	8
Pavarde405	Vardas405	9	3	3	10	7	3
Pavarde406	Vardas406	9	10	4	9	4	5
Pavarde407	Vardas407	3	0	1	7	9	0
Pavarde408	Vardas408	8	7	6	1	2	10
Pavarde409	Vardas409	10	8	7	5	0	3
Pavarde410	Vardas410	5	10	0	0	9	0
Pavarde411	Vardas411	6	8	7	7	7	10
Pavarde412	Vardas412	3	8	5	3	3	4
Pavarde413	Vardas413	0	0	2	0	5	0
Pavarde414	Vardas414	2	7	1	5	4	9
Pavarde415	Vardas415	8	9	8	9	0	9
Pavarde416	Vardas416	9	5	0	9	0	4
Pavarde417	Vardas417	2	0	1	5	10	0
Pavarde418	Vardas418	10	0	0	8	10	10
Pavarde419	Vardas419	9	10	2	3	8	10
Pavarde420	Vardas420	10	1	8	5	8	10
Pavarde421	Vardas421	1	1	8	5	7	2
Pavarde422	Vardas422	0	3	4	10	1	0
Pavarde423	Vardas423	9	6	10	1	9	10
Pavarde424	Vardas424	4	6	6	4	9	9
Pavarde425	Vardas425	1	10	10	10	8	8
Pavarde426	Vardas426	4	1	8	1	1	8
Pavarde427	Vardas427	1	4	5	9	4	10
Pavarde428	Vardas428	5	2	7	6	5	7
Pavarde429	Vardas429	5	7	3	2	8	3
Pavarde430	Vardas430	9	3	10	5	3	4
Pavarde431	Vardas431	8	0	3	2	6	5
Pavarde432	Vardas432	8	7	5	0	10	6
Pavarde433	Vardas433	10	5	6	4	5	6
Pavarde434	Vardas434	5	6	4	3	8	3
Pavarde435	Vardas435	0	3	4	10	0	6
Pavarde436	Vardas436	9	3	10	5	8	6
Pavarde437	Vardas437	10	2	5	5	1	5
Pavarde438	Vardas438	1	6	3	10	0	10
Pavarde439	Vardas439	4	2	4	2	7	2
Pavarde440	Vardas440	3	0	10	4	2	3
Pavarde441	Vardas441	6	1	9	3	3	3
Pavarde442	Vardas442	4	6	2	7	5	2
Pavarde443	Vardas443	9	5	7	9	9	8
Pavarde444	Vardas444	4	9	1	7	3	2
Pavarde445	Vardas445	0	7	1	10	0	1
Pavarde446	Vardas446	6	0	4	10	4	8
Pavarde447	Vardas447	5	10	8	9	3	0
Pavarde448	Vardas448	5	4	7	1	8	7
Pavarde449	Vardas449	5	4	3	9	5	7
Pavarde450	Vardas450	9	2	3	7	2	7
Pavarde451	Vardas451	6	2	6	1	4	9
Pavarde452	Vardas452	6	9	1	2	7	1
Pavarde453	Vardas453	4	7	9	3	1	1
Pavarde454	Vardas454	0	5	2	10	7	2
Pavarde455	Vardas455	9	4	3	3	3	7
Pavarde456	Vardas456	8	4	5	3	6	7
Pavarde457	Vardas457	9	8	9	1	7	7
Pavarde458	Vardas458	7	7	9	6	7	2
Pavarde459	Vardas459	9	7	9	3	7	8
Pavarde460	Vardas460	4	0	8	5	6	4
Pavarde461	Vardas461	2	8	2	1	10	0
Pavarde462	Vardas462	9	0	5	3	7	1
Pavarde463	Vardas463	5	0	1	7	8	1
Pavarde464	Vardas464	3	8	3	5	2	10
Pavarde465	Vardas465	5	4	2	4	3	1
Pavarde466	Vardas466	1	2	4	9	8	4
Pavarde467	Vardas467	6	10	10	8	2	4
Pavarde468	Vardas468	3	1	6	7	5	7
Pavarde469	Vardas469	2	1	0	5	5	4
Pavarde470	Vardas470	6	7	0	7	2	5
Pavarde471	Vardas471	5	7	9	2	0	4
Pavarde472	Vardas472	9	7	2	9	4	8
Pavarde473	Vardas473	4	6	7	10	0	4
Pavarde474	Vardas474	3	5	8	8	7	6
Pavarde475	Vardas475	7	10	0	8	8	10
Pavarde476	Vardas476	9	10	4	2	4	3
Pavarde477	Vardas477	1	2	1	9	3	10
Pavarde478	Vardas478	10	0	9	7	4	3
Pavarde479	Vardas479	6	6	5	9	4	3
Pavarde480	Vardas480	7	10	7	4	4	10
Pavarde481	Vardas481	5	5	0	8	7	4
Pavarde482	Vardas482	3	5	3	4	1	0
Pavarde483	Vardas483	0	9	2	7	5	2
Pavarde484	Vardas484	0	6	0	9	4	1
Pavarde485	Vardas485	3	6	6	6	3	1
Pavarde486	Vardas486	10	0	4	3	3	4
Pavarde487	Vardas487	0	1	0	10	6	0
Pavarde488	Vardas488	8	6	7	0	1	3
Pavarde489	Vardas489	8	10	8	9	9	4
Pavarde490	Vardas490	4	7	10	6	4	4
Pavarde491	Vardas491	1	10	4	1	1	7
Pavarde492	Vardas492	0	4	7	8	2	4
Pavarde493	Vardas493	1	10	9	7	3	0
Pavarde494	Vardas494	7	4	2	4	5	8
Pavarde495	Vardas495	3	0	0	10	6	2
Pavarde496	Vardas496	9	9	5	4	5	5
Pavarde497	Vardas497	5	4	9	0	0	4
Pavarde498	Vardas498	8	4	5	1	1	3
Pavarde499	Vardas499	7	0	8	2	1	0
Pavarde500	Vardas500	2	10	7	8	7	10
Pavarde501	Vardas501	0	5	0	5	9	5
Pavarde502	Vardas502	0	7	9	7	2	0
Pavarde503	Vardas503	2	3	2	0	8	5
Pavarde504	Vardas504	7	3	6	8	7	5
Pavarde505	Vardas505	8	4	2	8	0	3
Pavarde506	Vardas506	2	8	4	3	9	0
Pavarde507	Vardas507	2	4	0	3	6	5
Pavarde508	Vardas508	9	0	2	2	10	2
Pavarde509	Vardas509	1	10	8	10	6	1
Pavarde510	Vardas510	6	9	10	2	7	10
Pavarde511	Vardas511	2	8	1	4	3	5
Pavarde512	Vardas512	8	8	8	10	5	5
Pavarde513	Vardas513	8	9	8	4	8	7
Pavarde514	Vardas514	7	6	3	4	4	2
Pavarde515	Vardas515	0	8	6	6	8	7
Pavarde516	Vardas516	0	3	9	5	6	6
Pavarde517	Vardas517	1	9	7	6	0	6
Pavarde518	Vardas518	3	1	7	7	8	2
Pavarde519	Vardas519	6	4	8	5	1	6
Pavarde520	Vardas520	2	3	2	8	4	6
Pavarde521	Vardas521	6	4	6	2	7	6
Pavarde522	Vardas522	1	10	7	3	2	2
Pavarde523	Vardas523	9	10	0	8	9	9
Pavarde524	Vardas524	7	10	2	6	1	10
Pavarde525	Vardas525	0	2	1	4	0	6
Pavarde526	Vardas526	4	10	4	7	0	7
Pavarde527	Vardas527	1	9	1	2	8	5
Pavarde528	Vardas528	7	0	7	1	7	0
Pavarde529	Vardas529	1	4	9	5	8	10
Pavarde530	Vardas530	6	9	7	1	0	10
Pavarde531	Vardas531	8	1	2	7	0	10
Pavarde532	Vardas532	0	7	4	9	5	9
Pavarde533	Vardas533	8	1	7	2	9	2
Pavarde534	Vardas534	9	9	1	0	3	6
Pavarde535	Vardas535	7	8	0	5	0	0
Pavarde536	Vardas536	4	0	8	10	4	3
Pavarde537	Vardas537	3	5	2	7	5	0
Pavarde538	Vardas538	6	10	4	0	9	6
Pavarde539	Vardas539	7	1	9	10	2	6
Pavarde540	Vardas540	5	5	10	6	3	3
Pavarde541	Vardas541	6	7	8	2	0	9
Pavarde542	Vardas542	10	6	7	6	4	10
Pavarde543	Vardas543	6	6	5	2	7	9
Pavarde544	Vardas544	8	8	10	5	5	8
Pavarde545	Vardas545	5	10	6	7	3	7
Pavarde546	Vardas546	9	0	8	7	1	10
Pavarde547	Vardas547	8	3	6	1	5	7
Pavarde548	Vardas548	7	5	3	7	10	4
Pavarde549	Vardas549	10	1	5	10	8	5
Pavarde550	Vardas550	2	7	3	8	1	6
Pavarde551	Vardas551	6	5	5	6	9	6
Pavarde552	Vardas552	2	5	4	0	4	2
Pavarde553	Vardas553	2	8	8	10	4	2
Pavarde554	Vardas554	1	7	10	7	8	2
Pavarde555	Vardas555	8	7	10	5	4	9
Pavarde556	Vardas556	8	1	3	2	10	10
Pavarde557	Vardas557	0	1	10	5	10	5
